Earliest Specimen Date,Nation,Pillar,Daily number of positive cases (new methodology),Cumulative number of positive cases (new methodology)
06/04/2020,Northern Ireland,Pillar 1,106,1340
06/04/2020,Scotland,Pillar 1,404,4647
06/04/2020,Wales,Pillar 1,Not available,Not available
06/04/2020,England,Pillar 2,57,331
06/04/2020,Northern Ireland,Pillar 2,0,0
06/04/2020,Scotland,Pillar 2,0,1
06/04/2020,Wales,Pillar 2,Not available,Not available
07/04/2020,England,Pillar 1,4473,60025
07/04/2020,Northern Ireland,Pillar 1,130,1470
07/04/2020,Scotland,Pillar 1,351,4998
07/04/2020,Wales,Pillar 1,Not available,Not available
07/04/2020,England,Pillar 2,105,436
07/04/2020,Northern Ireland,Pillar 2,0,0
07/04/2020,Scotland,Pillar 2,0,1
07/04/2020,Wales,Pillar 2,Not available,Not available
08/04/2020,England,Pillar 1,4237,64262
08/04/2020,Northern Ireland,Pillar 1,102,1572
08/04/2020,Scotland,Pillar 1,343,5341
08/04/2020,Wales,Pillar 1,Not available,Not available
08/04/2020,England,Pillar 2,62,498
08/04/2020,Northern Ireland,Pillar 2,0,0
08/04/2020,Scotland,Pillar 2,0,1
08/04/2020,Wales,Pillar 2,Not available,Not available
09/04/2020,England,Pillar 1,4015,68277
09/04/2020,Northern Ireland,Pillar 1,100,1672
09/04/2020,Scotland,Pillar 1,301,5642
09/04/2020,Wales,Pillar 1,Not available,Not available
09/04/2020,England,Pillar 2,46,544
09/04/2020,Northern Ireland,Pillar 2,0,0
09/04/2020,Scotland,Pillar 2,0,1
09/04/2020,Wales,Pillar 2,Not available,Not available
10/04/2020,England,Pillar 1,3508,71785
10/04/2020,Northern Ireland,Pillar 1,97,1769
10/04/2020,Scotland,Pillar 1,329,5971
10/04/2020,Wales,Pillar 1,Not available,Not available
10/04/2020,England,Pillar 2,73,617
10/04/2020,Northern Ireland,Pillar 2,0,0
10/04/2020,Scotland,Pillar 2,0,1
